Brite Hierarchies	Transporters	35
Brite Hierarchies	DNA repair and recombination proteins	22
Environmental Information Processing	ABC transporters	19
Brite Hierarchies	Ribosome biogenesis	14
Brite Hierarchies	DNA replication proteins	14
Genetic Information Processing	Homologous recombination	11
Cellular Processes	Quorum sensing	10
Genetic Information Processing	DNA replication	9
Brite Hierarchies	Chromosome and associated proteins	9
Not Included in Pathway or Brite	Enzymes with EC numbers	7
Genetic Information Processing	Protein export	7
Genetic Information Processing	Mismatch repair	7
Brite Hierarchies	Transcription machinery	6
Brite Hierarchies	Secretion system	6
Environmental Information Processing	Bacterial secretion system	5
Brite Hierarchies	Transfer RNA biogenesis	5
Brite Hierarchies	Prokaryotic defense system	5
Brite Hierarchies	Peptidases and inhibitors	5
Brite Hierarchies	Chaperones and folding catalysts	5
Metabolism	Nicotinate and nicotinamide metabolism	4
