ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant	VF
MHP168L_RS00005	184.8663801	1.237368219	0.161153074	7.678216657	1.61E-14	3.96E-14	up	-
MHP168L_RS00010	936.2757344	1.513904044	0.087591375	17.28371138	6.24E-67	4.59E-66	up	-
MHP168L_RS00015	3649.366316	0.717739014	0.067994767	10.5557978	4.78E-26	1.63E-25	normal	-
MHP168L_RS00020	350.2539399	0.77687207	0.115873339	6.704493681	2.02E-11	4.44E-11	normal	-
MHP168L_RS00025	814.9938397	1.34313897	0.093473384	14.36921304	8.07E-47	4.83E-46	up	-
MHP168L_RS00030	843.0696478	1.36197298	0.085156006	15.99385697	1.41E-57	9.61E-57	up	-
MHP168L_RS00035	300.9155958	-1.263022953	0.126936929	-9.950003986	2.52E-23	7.97E-23	down	-
MHP168L_RS00040	593.4244949	0.442435898	0.095706711	4.62283047	3.79E-06	6.65E-06	normal	-
MHP168L_RS00045	7675.82425	0.763243577	0.073328227	10.40859178	2.27E-25	7.54E-25	normal	-
MHP168L_RS00050	6546.030156	0.665214543	0.058146892	11.44024241	2.63E-30	9.93E-30	normal	-
MHP168L_RS00055	1197.345307	0.286658701	0.078507282	3.651364498	0.000260851	0.000415554	normal	-
MHP168L_RS00060	3077.111845	0.292777147	0.067888376	4.312625571	1.61E-05	2.73E-05	normal	-
MHP168L_RS00065	235.288268	0.503485281	0.148755356	3.384653118	0.000712683	0.001083749	normal	-
MHP168L_RS00070	11685.6077	0.238824112	0.070514447	3.386882022	0.000706918	0.001077208	normal	-
MHP168L_RS00075	222.6515537	-1.244929685	0.138979047	-8.957678976	3.32E-19	9.46E-19	down	-
MHP168L_RS00080	2.17860448	-4.852486029	1.672339377	-2.901615603	0.003712438	0.005244442	down	-
MHP168L_RS00085	60.65014627	-6.450859712	0.680945673	-9.473383808	2.71E-21	8.24E-21	down	-
MHP168L_RS00090	312.3482707	-1.241455774	0.125242242	-9.912436515	3.68E-23	1.16E-22	down	-
MHP168L_RS00100	167.2302206	2.260693435	0.186411548	12.12743236	7.56E-34	3.18E-33	up	-
