ID	SRR8369374	SRR8369400	SRR8369401	SRR8369402	SRR8369403	SRR8369404	SRR8369432	SRR8369434	SRR8369435	SRR8369437	SRR8369439	SRR8369440	SRR8369442	SRR8369443	SRR8369448	SRR8369474	SRR8369475	SRR8369476	SRR8369477	SRR8369478	SRR8369480	SRR8369481	SRR8369514	SRR8369515	SRR8369516	SRR8369517	SRR8369520	SRR8369521	SRR8369554	SRR8369578	SRR8369579	SRR8369604	SRR8369609	SRR8369611	SRR8369632	SRR8369636	SRR8369637	SRR8369660	SRR8369676	SRR8369677	SRR8369678	SRR8369679	SRR8369680	SRR8369681	SRR8369704	SRR8369705
Actinobacteria	0.0450279363	0.0124188	0.01152237646	0.006626596911	0.01564164	0.00594318	0.02032722547	0.0138051357	0.00239971	0.008780053	0	0.0003352247	0.002018611	0.17470582651	0.00575330549	0.00616832058	0.02913681741	0.0593358392	0.01517709487	0.0446365828	0.0106449104	0.1037784165	0.012390152	0.00276227	0.00649558	0.0028760508	0.006693135061	0.00233966	0.0060103589	0.003345586	0.0708486592	0.005685935	0.0066323356	0.0715058105	0.00320072	0.0021324524	0	0.00090222	0.1043215037	0.02994745453	0	0.013016348065	0.0010340272	0.001146778	0.0015822449	0.0032639214
Artverviricota	0	0	0	0	0	0	0	0	0	0	0.000570696	0.001274604	0.003228356	0	0	0	0.0002013272	0.00141999	0.000124467	0.000488415	0	0	0	0.0013108986	0	0	0	0.007925664	0	0.006903829	0	0	0	0	0	0.00037032	9.42407e-05	0.00133945	0	0	0.005390824	6.07012e-06	0	0	0	0
Ascomycota	0.0546888068	0.000109314	0	1.181396e-06	0	0	3.6064e-06	0.00761153363	0	0.01825477	0	0	0	6.44614e-06	0.048832142	6.110266e-06	0.000494181	0.00215195	0.000295128	0.00172708	0.000422255	0.000193381	0.0003406911	0	0.0003222294	4.79493e-05	0.00016237955	0	0.001033903	0	0.00050928	8.56651e-05	6.83723e-05	0	0.023871345	0.000930546	0	0.000155908	0.000393703	9.44274e-06	0.00063697	7.2654e-06	0	0	0	0
Bacteroidota	0.2085380792	0	0.05086957023	1.291299e-06	0.0027106705	3.32418e-05	1.158658e-05	0.02664859649	0	0	0	0	0	0.00991864689	0.0926358995	0.0002303005276	0.00121342107	0.0026412032	0.001112786	0.0021846215	0.0010509367	0.4432440137	0	0.000176995	0	0	0	0.000623418	9.41651e-05	0.021440865	0.4057347628	0	0	0.2689241582	0	0.0003098139	0.0003533039	0	0.4224494779	0.1129279187	0.003853565	0.0001082298	0.0004982721	0.0002807494	0	0
Cossaviricota	0	0	0	0	0	0	0	0.0006100115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43347e-05	0	0	0	0	3.56243e-05	0.00722119	0	0	0	0	0	0
Cyanobacteria	2.05936e-05	0.000139898	0	0	0	3.94746e-05	8.03573e-06	6.59409e-06	0	0.0003770074	0	0	0	1.7726397e-05	7.098141e-05	0	0.00017878597	0.000192741	1.98251e-05	0.000281237	0	0	7.5658e-05	0	0	3.63979e-05	1.08825e-06	0	0	0.000486069	0	0	0.000282036	0	0.000581084	0.2744485445	0	0	3.03571e-05	0	0	0.003675419716	0.8171532885	0.7919503292	0.6859840067	0
Euglenozoa	0	0	0	0	0	0	0	0	0	0	0.00174744	0	0.000682978	0	0	0	0	0	0	0	0	0	0	0.000372786	0	0	0	0.00252599	0	0.000714048	0	0	0	0	0	0	0	0.000487039	0	0	0.00094136	0	0	0	0	0
Euryarchaeota	2.96423e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25517e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232334865	0	0	4.82188e-05	0	0	0.00311621652	0	0	0	0
Firmicutes	0.17766276152	0.4596033844	0.03136731055	0.7872552817342	0.4238106311	0.77439981753	0.627792122137	0.03051769585	0.4814883798	0.313491271	0.013082782	0.0037309572	0.007197363	0.502370494809	0.52786451135	0.833937493662	0.55615418784	0.0678144301	0.80706998828	0.0542088408	0.4641776392	0.2911176781	0.5984513219	0.0045521268	0.13279185053	0.42674362755	0.796755768452	0.0079297633	0.2675612326	0.025478615	0.2020311029	0.2663134823	0.68949383531	0.19657013802	0.5019822973	0.1355736206	0.02511734	0.0195073468	0.3099476031	0.56132510207	0.020083868	0.6767012206	0.0032154604	0.0032800649	0.0046372346	0.07742668852
Peploviricota	0.029191607	0	0	0	0	2.19957e-05	0	0	0.000261057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00010801	0	0.000327592	0.000121622	0	0	0	0	0	0	0
